per_idx,cat_idx,dt_idx,geo_idx,is_adj,val
1,10,1,1,0,118131
1,10,1,1,1,126127
1,4,1,3,0,38305
1,4,1,2,0,32945
1,4,1,4,0,83324
1,4,1,5,0,52156
1,4,1,3,1,42273
1,4,1,2,1,35730
1,4,1,4,1,88286
1,4,1,5,1,56573
1,4,1,7,0,2535
1,4,1,6,0,461
1,4,1,9,0,4524
1,4,1,8,0,1709
1,4,1,10,0,25447
1,4,1,11,0,4713
1,4,1,12,0,1735
1,4,1,13,0,728
1,4,1,14,0,507
1,4,1,15,0,22200
1,4,1,16,0,8501
1,4,1,17,0,735
1,4,1,18,0,1290
1,4,1,19,0,8087
1,4,1,20,0,3225
1,4,1,21,0,1659
1,4,1,22,0,1821
1,4,1,23,0,1980
1,4,1,24,0,2835
1,4,1,25,0,906
1,4,1,26,0,4275
1,4,1,27,0,3661
1,4,1,28,0,5853
1,4,1,29,0,3159
1,4,1,30,0,1713
1,4,1,31,0,4001
1,4,1,32,0,846
1,4,1,33,0,956
1,4,1,34,0,2758
1,4,1,35,0,880
1,4,1,36,0,6099
1,4,1,37,0,1055
1,4,1,38,0,12175
1,4,1,39,0,6159
1,4,1,40,0,443
1,4,1,41,0,5700
1,4,1,42,0,2393
1,4,1,43,0,2726
1,4,1,44,0,6482
1,4,1,45,0,585
1,4,1,46,0,2857
1,4,1,47,0,494
1,4,1,48,0,3454
1,4,1,49,0,15225
1,4,1,50,0,2422
1,4,1,51,0,422
1,4,1,52,0,5471
1,4,1,53,0,4704
1,4,1,54,0,782
1,4,1,55,0,2907
1,4,1,56,0,475
1,4,1,7,1,2703
1,4,1,6,1,511
1,4,1,9,1,4643
1,4,1,8,1,1821
1,4,1,10,1,27522
1,4,1,11,1,5247
1,4,1,12,1,1871
1,4,1,13,1,779
1,4,1,14,1,532
1,4,1,15,1,23461
1,4,1,16,1,8837
1,4,1,17,1,799
1,4,1,18,1,1425
1,4,1,19,1,8788
1,4,1,20,1,3524
1,4,1,21,1,1888
1,4,1,22,1,1939
1,4,1,23,1,2102
1,4,1,24,1,2949
1,4,1,25,1,1027
1,4,1,26,1,4481
1,4,1,27,1,4012
1,4,1,28,1,6460
1,4,1,29,1,3612
1,4,1,30,1,1809
1,4,1,31,1,4404
1,4,1,32,1,972
1,4,1,33,1,1071
1,4,1,34,1,2951
1,4,1,35,1,969
1,4,1,36,1,6650
1,4,1,37,1,1131
1,4,1,38,1,13132
1,4,1,39,1,6552
1,4,1,40,1,524
1,4,1,41,1,6195
1,4,1,42,1,2554
1,4,1,43,1,3030
1,4,1,44,1,6965
1,4,1,45,1,647
1,4,1,46,1,3006
1,4,1,47,1,619
1,4,1,48,1,3652
1,4,1,49,1,16340
1,4,1,50,1,2677
1,4,1,51,1,457
1,4,1,52,1,5875
1,4,1,53,1,5115
1,4,1,54,1,833
1,4,1,55,1,3249
1,4,1,56,1,550
1,4,1,1,0,206730
1,4,1,1,1,222862
1,1,1,3,0,100373
1,1,1,2,0,100419
1,1,1,4,0,216928
1,1,1,5,0,123450
1,1,1,3,1,107995
1,1,1,2,1,107521
1,1,1,4,1,227323
1,1,1,5,1,131938
1,1,1,7,0,6617
1,1,1,6,0,998
1,1,1,9,0,11343
1,1,1,8,0,4233
1,1,1,10,0,58016
1,1,1,11,0,11492
1,1,1,12,0,6534
1,1,1,13,0,2510
1,1,1,14,0,1714
1,1,1,15,0,57671
1,1,1,16,0,21264
1,1,1,17,0,2120
1,1,1,18,0,2799
1,1,1,19,0,21696
1,1,1,20,0,8373
1,1,1,21,0,3620
1,1,1,22,0,4147
1,1,1,23,0,5729
1,1,1,24,0,8257
1,1,1,25,0,2150
1,1,1,26,0,12489
1,1,1,27,0,10726
1,1,1,28,0,17130
1,1,1,29,0,8265
1,1,1,30,0,4429
1,1,1,31,0,9818
1,1,1,32,0,1963
1,1,1,33,0,2279
1,1,1,34,0,9247
1,1,1,35,0,2515
1,1,1,36,0,19720
1,1,1,37,0,2426
1,1,1,38,0,38460
1,1,1,39,0,15910
1,1,1,40,0,878
1,1,1,41,0,14883
1,1,1,42,0,6173
1,1,1,43,0,6024
1,1,1,44,0,17628
1,1,1,45,0,1670
1,1,1,46,0,7328
1,1,1,47,0,1034
1,1,1,48,0,8344
1,1,1,49,0,38112
1,1,1,50,0,5682
1,1,1,51,0,1016
1,1,1,52,0,14050
1,1,1,53,0,10203
1,1,1,54,0,2098
1,1,1,55,0,8250
1,1,1,56,0,1137
1,1,1,7,1,6943
1,1,1,6,1,1119
1,1,1,9,1,11760
1,1,1,8,1,4386
1,1,1,10,1,61738
1,1,1,11,1,12632
1,1,1,12,1,6945
1,1,1,13,1,2703
1,1,1,14,1,1808
1,1,1,15,1,60887
1,1,1,16,1,22080
1,1,1,17,1,2243
1,1,1,18,1,3055
1,1,1,19,1,23166
1,1,1,20,1,8833
1,1,1,21,1,3988
1,1,1,22,1,4396
1,1,1,23,1,5955
1,1,1,24,1,8494
1,1,1,25,1,2341
1,1,1,26,1,13052
1,1,1,27,1,11642
1,1,1,28,1,18520
1,1,1,29,1,9258
1,1,1,30,1,4576
1,1,1,31,1,10429
1,1,1,32,1,2143
1,1,1,33,1,2453
1,1,1,34,1,9595
1,1,1,35,1,2691
1,1,1,36,1,21053
1,1,1,37,1,2569
1,1,1,38,1,41072
1,1,1,39,1,16654
1,1,1,40,1,1015
1,1,1,41,1,15731
1,1,1,42,1,6422
1,1,1,43,1,6590
1,1,1,44,1,18804
1,1,1,45,1,1862
1,1,1,46,1,7609
1,1,1,47,1,1155
1,1,1,48,1,8790
1,1,1,49,1,39983
1,1,1,50,1,6191
1,1,1,51,1,1111
1,1,1,52,1,14795
1,1,1,53,1,11017
1,1,1,54,1,2186
1,1,1,55,1,9051
1,1,1,56,1,1286
1,1,1,1,0,541170
1,1,1,1,1,574777
1,5,1,3,0,19495
1,5,1,2,0,18649
1,5,1,4,0,37170
1,5,1,5,0,28296
1,5,1,3,1,21413
1,5,1,2,1,20122
1,5,1,4,1,39440
1,5,1,5,1,30594
1,5,1,7,0,1268
1,5,1,6,0,276
1,5,1,9,0,2201
1,5,1,8,0,891
1,5,1,10,0,14113
1,5,1,11,0,2328
1,5,1,12,0,1045
1,5,1,13,0,322
1,5,1,14,0,151
1,5,1,15,0,8436
1,5,1,16,0,3352
