Week,diet: (Germany),food: (Germany),gym: (Germany),health: (Germany),fitness: (Germany)
05/07/2015,5,34,15,14,57
12/07/2015,5,31,14,16,57
19/07/2015,5,33,12,15,62
26/07/2015,5,32,11,15,61
02/08/2015,5,29,11,15,60
09/08/2015,5,33,13,15,60
16/08/2015,4,33,11,15,63
23/08/2015,4,31,13,15,61
30/08/2015,5,32,16,14,65
06/09/2015,4,35,18,13,62
13/09/2015,4,34,16,15,62
20/09/2015,4,32,15,15,62
27/09/2015,4,36,16,14,63
04/10/2015,4,31,15,15,66
11/10/2015,3,32,14,15,64
18/10/2015,4,31,13,15,66
25/10/2015,4,31,13,14,64
01/11/2015,4,32,17,14,66
08/11/2015,4,31,16,14,65
15/11/2015,4,31,15,13,64
22/11/2015,4,32,14,13,65
29/11/2015,4,29,17,14,65
06/12/2015,3,28,16,14,62
13/12/2015,3,29,15,14,63
20/12/2015,4,27,14,12,75
27/12/2015,4,28,13,14,91
03/01/2016,6,32,18,18,100
10/01/2016,6,32,18,18,93
17/01/2016,6,32,18,18,81
24/01/2016,6,33,17,18,81
31/01/2016,6,31,16,18,77
07/02/2016,6,30,17,18,73
14/02/2016,5,32,17,17,74
21/02/2016,5,35,18,17,75
28/02/2016,5,34,16,17,72
06/03/2016,5,36,17,17,74
13/03/2016,4,33,15,17,69
20/03/2016,5,34,14,16,75
27/03/2016,6,38,15,18,76
03/04/2016,6,38,17,16,76
10/04/2016,5,38,19,18,74
17/04/2016,5,38,16,18,72
24/04/2016,5,35,16,16,71
01/05/2016,5,38,15,16,71
08/05/2016,5,35,15,16,66
15/05/2016,5,37,14,16,73
22/05/2016,5,39,16,16,68
29/05/2016,5,36,16,16,65
05/06/2016,6,34,15,16,63
12/06/2016,5,33,14,16,62
19/06/2016,4,33,13,16,60
26/06/2016,4,33,12,15,64
03/07/2016,5,33,13,15,63
10/07/2016,5,34,15,16,59
17/07/2016,4,38,15,15,57
24/07/2016,5,38,14,16,65
31/07/2016,4,35,15,15,65
07/08/2016,5,32,15,15,65
14/08/2016,5,32,14,16,62
21/08/2016,5,37,15,17,62
28/08/2016,5,35,16,15,66
04/09/2016,4,39,18,15,66
11/09/2016,4,37,18,17,64
18/09/2016,5,37,16,17,64
25/09/2016,4,38,16,16,62
02/10/2016,4,39,14,16,66
09/10/2016,4,36,13,16,62
16/10/2016,6,35,14,15,64
23/10/2016,5,33,14,17,63
30/10/2016,5,39,15,16,67
06/11/2016,5,33,15,14,62
13/11/2016,6,32,15,15,67
20/11/2016,4,32,17,15,65
27/11/2016,5,30,16,15,63
04/12/2016,4,29,15,16,61
11/12/2016,4,30,15,15,65
18/12/2016,4,28,14,13,62
25/12/2016,4,26,12,13,84
01/01/2017,6,31,15,17,96
08/01/2017,5,33,17,17,87
15/01/2017,6,33,19,16,83
22/01/2017,7,33,18,17,80
29/01/2017,9,34,16,15,81
05/02/2017,13,36,17,15,74
12/02/2017,10,32,16,16,69
19/02/2017,11,33,16,16,69
26/02/2017,8,36,17,16,71
05/03/2017,6,38,17,15,68
12/03/2017,6,37,16,16,67
19/03/2017,6,39,17,16,67
26/03/2017,6,41,16,16,66
02/04/2017,6,39,17,16,70
09/04/2017,6,36,13,16,78
16/04/2017,6,40,14,16,72
23/04/2017,6,41,17,16,67
30/04/2017,5,42,16,17,67
07/05/2017,6,40,15,18,64
14/05/2017,5,38,15,16,59
21/05/2017,6,36,15,15,58
28/05/2017,5,36,15,15,60
04/06/2017,5,38,14,16,65
11/06/2017,6,38,16,15,62
18/06/2017,6,36,13,16,59
25/06/2017,5,37,14,17,60
02/07/2017,4,38,14,17,60
09/07/2017,6,35,13,18,62
16/07/2017,5,36,13,17,62
23/07/2017,5,37,13,16,62
30/07/2017,5,38,14,17,61
06/08/2017,5,36,14,17,61
13/08/2017,6,38,14,16,62
20/08/2017,6,44,14,15,59
27/08/2017,5,39,15,15,63
03/09/2017,5,39,16,15,63
10/09/2017,5,38,16,17,63
17/09/2017,5,39,15,16,60
24/09/2017,4,35,15,15,59
01/10/2017,5,40,13,15,70
08/10/2017,4,39,13,17,64
15/10/2017,4,37,16,18,64
22/10/2017,5,38,15,16,62
29/10/2017,4,43,15,15,69
05/11/2017,5,34,15,16,66
12/11/2017,4,35,16,17,66
19/11/2017,4,33,15,15,66
26/11/2017,4,34,15,16,61
03/12/2017,4,33,14,16,61
10/12/2017,4,32,14,15,59
17/12/2017,3,35,15,14,59
24/12/2017,4,32,13,15,83
31/12/2017,5,34,16,18,98
07/01/2018,5,38,18,19,94
14/01/2018,6,36,19,18,78
21/01/2018,5,34,17,18,80
28/01/2018,5,38,17,17,77
04/02/2018,5,35,16,17,69
