Category: All categories

Week,diet: (Germany),food: (Germany),gym: (Germany),health: (Germany),fitness: (Germany)
2015-07-05,5,34,15,14,57
2015-07-12,5,31,14,16,57
2015-07-19,5,33,12,15,62
2015-07-26,5,32,11,15,61
2015-08-02,5,29,11,15,60
2015-08-09,5,33,13,15,60
2015-08-16,4,33,11,15,63
2015-08-23,4,31,13,15,61
2015-08-30,5,32,16,14,65
2015-09-06,4,35,18,13,62
2015-09-13,4,34,16,15,62
2015-09-20,4,32,15,15,62
2015-09-27,4,36,16,14,63
2015-10-04,4,31,15,15,66
2015-10-11,3,32,14,15,64
2015-10-18,4,31,13,15,66
2015-10-25,4,31,13,14,64
2015-11-01,4,32,17,14,66
2015-11-08,4,31,16,14,65
2015-11-15,4,31,15,13,64
2015-11-22,4,32,14,13,65
2015-11-29,4,29,17,14,65
2015-12-06,3,28,16,14,62
2015-12-13,3,29,15,14,63
2015-12-20,4,27,14,12,75
2015-12-27,4,28,13,14,91
2016-01-03,6,32,18,18,100
2016-01-10,6,32,18,18,93
2016-01-17,6,32,18,18,81
2016-01-24,6,33,17,18,81
2016-01-31,6,31,16,18,77
2016-02-07,6,30,17,18,73
2016-02-14,5,32,17,17,74
2016-02-21,5,35,18,17,75
2016-02-28,5,34,16,17,72
2016-03-06,5,36,17,17,74
2016-03-13,4,33,15,17,69
2016-03-20,5,34,14,16,75
2016-03-27,6,38,15,18,76
2016-04-03,6,38,17,16,76
2016-04-10,5,38,19,18,74
2016-04-17,5,38,16,18,72
2016-04-24,5,35,16,16,71
2016-05-01,5,38,15,16,71
2016-05-08,5,35,15,16,66
2016-05-15,5,37,14,16,73
2016-05-22,5,39,16,16,68
2016-05-29,5,36,16,16,65
2016-06-05,6,34,15,16,63
2016-06-12,5,33,14,16,62
2016-06-19,4,33,13,16,60
2016-06-26,4,33,12,15,64
2016-07-03,5,33,13,15,63
2016-07-10,5,34,15,16,59
2016-07-17,4,38,15,15,57
2016-07-24,5,38,14,16,65
2016-07-31,4,35,15,15,65
2016-08-07,5,32,15,15,65
2016-08-14,5,32,14,16,62
2016-08-21,5,37,15,17,62
2016-08-28,5,35,16,15,66
2016-09-04,4,39,18,15,66
2016-09-11,4,37,18,17,64
2016-09-18,5,37,16,17,64
2016-09-25,4,38,16,16,62
2016-10-02,4,39,14,16,66
2016-10-09,4,36,13,16,62
2016-10-16,6,35,14,15,64
2016-10-23,5,33,14,17,63
2016-10-30,5,39,15,16,67
2016-11-06,5,33,15,14,62
2016-11-13,6,32,15,15,67
2016-11-20,4,32,17,15,65
2016-11-27,5,30,16,15,63
2016-12-04,4,29,15,16,61
2016-12-11,4,30,15,15,65
2016-12-18,4,28,14,13,62
2016-12-25,4,26,12,13,84
2017-01-01,6,31,15,17,96
2017-01-08,5,33,17,17,87
2017-01-15,6,33,19,16,83
2017-01-22,7,33,18,17,80
2017-01-29,9,34,16,15,81
2017-02-05,13,36,17,15,74
2017-02-12,10,32,16,16,69
2017-02-19,11,33,16,16,69
2017-02-26,8,36,17,16,71
2017-03-05,6,38,17,15,68
2017-03-12,6,37,16,16,67
2017-03-19,6,39,17,16,67
2017-03-26,6,41,16,16,66
2017-04-02,6,39,17,16,70
2017-04-09,6,36,13,16,78
2017-04-16,6,40,14,16,72
2017-04-23,6,41,17,16,67
2017-04-30,5,42,16,17,67
2017-05-07,6,40,15,18,64
2017-05-14,5,38,15,16,59
2017-05-21,6,36,15,15,58
2017-05-28,5,36,15,15,60
2017-06-04,5,38,14,16,65
2017-06-11,6,38,16,15,62
2017-06-18,6,36,13,16,59
2017-06-25,5,37,14,17,60
2017-07-02,4,38,14,17,60
2017-07-09,6,35,13,18,62
2017-07-16,5,36,13,17,62
2017-07-23,5,37,13,16,62
2017-07-30,5,38,14,17,61
2017-08-06,5,36,14,17,61
2017-08-13,6,38,14,16,62
2017-08-20,6,44,14,15,59
2017-08-27,5,39,15,15,63
2017-09-03,5,39,16,15,63
2017-09-10,5,38,16,17,63
2017-09-17,5,39,15,16,60
2017-09-24,4,35,15,15,59
2017-10-01,5,40,13,15,70
2017-10-08,4,39,13,17,64
2017-10-15,4,37,16,18,64
2017-10-22,5,38,15,16,62
2017-10-29,4,43,15,15,69
2017-11-05,5,34,15,16,66
2017-11-12,4,35,16,17,66
2017-11-19,4,33,15,15,66
2017-11-26,4,34,15,16,61
2017-12-03,4,33,14,16,61
2017-12-10,4,32,14,15,59
2017-12-17,3,35,15,14,59
2017-12-24,4,32,13,15,83
2017-12-31,5,34,16,18,98
2018-01-07,5,38,18,19,94
2018-01-14,6,36,19,18,78
2018-01-21,5,34,17,18,80
2018-01-28,5,38,17,17,77
2018-02-04,5,35,16,17,69
2018-02-11,5,37,16,17,71
2018-02-18,6,38,16,15,69
2018-02-25,6,38,17,16,65
2018-03-04,6,38,18,16,67
2018-03-11,6,39,16,17,64
2018-03-18,8,40,14,16,64
2018-03-25,9,40,12,14,71
2018-04-01,8,45,14,15,71
2018-04-08,7,42,17,16,65
2018-04-15,6,40,17,16,62
2018-04-22,5,41,15,16,61
2018-04-29,5,45,15,16,62
2018-05-06,6,47,14,16,61
2018-05-13,5,41,14,15,58
2018-05-20,6,46,13,16,60
2018-05-27,5,42,15,15,57
2018-06-03,5,46,15,16,57
2018-06-10,5,41,15,16,55
2018-06-17,5,37,14,15,55
2018-06-24,4,40,14,14,56
2018-07-01,6,37,11,16,56
2018-07-08,5,39,12,15,59
2018-07-15,5,40,12,16,55
2018-07-22,5,40,11,15,51
2018-07-29,5,41,11,15,55
2018-08-05,6,42,15,15,55
2018-08-12,5,41,15,16,55
2018-08-19,5,40,15,16,57
2018-08-26,5,41,15,15,56
2018-09-02,5,42,15,15,60
2018-09-09,5,43,16,16,59
2018-09-16,4,42,16,17,57
2018-09-23,4,42,15,15,57
2018-09-30,4,42,13,16,65
2018-10-07,5,41,14,17,59
2018-10-14,5,42,14,18,62
2018-10-21,4,38,15,15,61
2018-10-28,4,36,14,15,65
2018-11-04,4,37,15,17,61
2018-11-11,5,43,15,17,61
2018-11-18,4,36,15,16,61
2018-11-25,4,37,15,17,59
2018-12-02,4,37,15,16,59
2018-12-09,4,35,15,15,56
2018-12-16,4,37,14,14,56
2018-12-23,4,35,12,14,80
2018-12-30,6,36,14,17,93
2019-01-06,5,35,18,19,86
2019-01-13,6,37,17,18,82
2019-01-20,5,36,17,18,75
2019-01-27,5,38,17,18,73
2019-02-03,5,37,18,19,71
2019-02-10,5,40,16,19,69
2019-02-17,5,36,16,17,65
2019-02-24,6,37,16,17,65
2019-03-03,5,38,15,17,69
2019-03-10,5,39,15,17,65
2019-03-17,5,43,16,18,64
2019-03-24,6,47,16,17,60
2019-03-31,10,47,16,16,61
2019-04-07,7,44,15,17,61
2019-04-14,6,44,12,17,65
2019-04-21,6,44,14,16,61
2019-04-28,7,46,15,17,64
2019-05-05,5,49,15,16,58
2019-05-12,6,45,16,16,59
2019-05-19,5,45,15,17,55
2019-05-26,5,48,16,16,57
2019-06-02,5,44,16,17,56
2019-06-09,5,46,15,16,61
2019-06-16,5,46,16,17,58
2019-06-23,5,41,15,17,52
2019-06-30,4,43,14,18,55
2019-07-07,5,46,13,18,57
2019-07-14,5,46,12,18,58
2019-07-21,5,43,12,16,54
2019-07-28,5,43,11,17,58
2019-08-04,5,43,13,17,58
2019-08-11,5,42,16,18,57
2019-08-18,5,46,15,16,57
2019-08-25,5,43,16,17,56
2019-09-01,5,45,16,18,56
2019-09-08,5,43,17,18,56
2019-09-15,4,44,17,18,52
2019-09-22,4,43,16,19,56
2019-09-29,5,46,16,18,60
2019-10-06,4,44,13,19,66
2019-10-13,4,43,14,19,59
2019-10-20,4,44,16,17,57
2019-10-27,5,41,16,16,60
2019-11-03,5,43,17,17,60
2019-11-10,4,41,17,18,56
2019-11-17,5,39,18,17,59
2019-11-24,4,40,17,16,60
2019-12-01,4,39,16,18,58
2019-12-08,4,38,16,16,54
2019-12-15,4,39,15,17,53
2019-12-22,4,40,13,16,75
2019-12-29,5,40,16,18,87
2020-01-05,6,39,20,20,84
2020-01-12,6,42,19,19,76
2020-01-19,5,41,18,19,72
2020-01-26,5,40,18,19,66
2020-02-02,5,40,17,18,68
2020-02-09,5,39,19,18,63
2020-02-16,5,40,17,18,61
2020-02-23,5,40,17,19,60
2020-03-01,5,40,18,21,58
2020-03-08,4,36,22,22,62
2020-03-15,3,30,27,21,95
2020-03-22,4,35,20,22,52
2020-03-29,5,38,16,20,52
2020-04-05,5,39,13,22,48
2020-04-12,5,36,16,22,53
2020-04-19,5,36,25,21,49
2020-04-26,5,39,23,21,49
2020-05-03,6,37,25,20,63
2020-05-10,5,38,25,19,74
2020-05-17,5,38,20,19,64
2020-05-24,5,36,22,18,72
2020-05-31,5,35,20,19,71
2020-06-07,5,38,21,19,67
2020-06-14,5,35,20,20,63
2020-06-21,5,35,19,19,58
