Category: All categories

Week,Online shopping: (Germany),Depression: (Germany),Money: (Germany),Economy: (Germany)
2015-07-05,14,17,79,23
2015-07-12,14,18,77,20
2015-07-19,14,17,78,18
2015-07-26,14,18,79,17
2015-08-02,13,15,76,15
2015-08-09,14,16,76,16
2015-08-16,16,17,74,17
2015-08-23,16,17,75,18
2015-08-30,18,17,77,18
2015-09-06,24,17,75,20
2015-09-13,22,17,73,20
2015-09-20,19,18,73,21
2015-09-27,18,17,71,21
2015-10-04,18,17,75,20
2015-10-11,19,20,73,21
2015-10-18,18,19,73,21
2015-10-25,17,18,70,20
2015-11-01,18,19,71,24
2015-11-08,17,19,70,23
2015-11-15,16,18,67,22
2015-11-22,21,18,66,23
2015-11-29,20,20,70,23
2015-12-06,19,19,69,22
2015-12-13,19,19,74,20
2015-12-20,15,16,78,15
2015-12-27,16,18,82,14
2016-01-03,16,19,82,21
2016-01-10,17,19,76,25
2016-01-17,16,19,78,26
2016-01-24,18,19,78,24
2016-01-31,17,19,80,21
2016-02-07,17,20,75,21
2016-02-14,17,19,74,23
2016-02-21,19,19,77,23
2016-02-28,21,22,73,22
2016-03-06,25,19,77,21
2016-03-13,28,19,74,21
2016-03-20,25,18,76,17
2016-03-27,18,19,80,18
2016-04-03,19,21,75,23
2016-04-10,17,19,76,22
2016-04-17,17,19,76,21
2016-04-24,17,19,80,22
2016-05-01,16,19,77,21
2016-05-08,16,18,74,22
2016-05-15,17,20,79,21
2016-05-22,17,18,78,22
2016-05-29,17,18,77,23
2016-06-05,18,18,78,21
2016-06-12,17,19,77,20
2016-06-19,18,18,76,22
2016-06-26,18,16,78,20
2016-07-03,18,18,78,18
2016-07-10,17,16,74,17
2016-07-17,26,16,73,16
2016-07-24,31,17,75,15
2016-07-31,31,17,78,15
2016-08-07,28,17,76,15
2016-08-14,19,17,77,15
2016-08-21,17,17,73,17
2016-08-28,18,17,77,18
2016-09-04,19,19,75,18
2016-09-11,18,20,73,19
2016-09-18,19,18,72,21
2016-09-25,19,18,75,20
2016-10-02,22,19,73,19
2016-10-09,20,18,73,20
2016-10-16,19,19,73,21
2016-10-23,19,20,72,19
2016-10-30,22,18,71,19
2016-11-06,22,18,73,22
2016-11-13,24,20,74,22
2016-11-20,28,22,73,22
2016-11-27,25,20,74,21
2016-12-04,37,20,69,20
2016-12-11,37,19,72,20
2016-12-18,27,17,73,15
2016-12-25,24,19,80,13
2017-01-01,26,19,79,17
2017-01-08,22,20,78,22
2017-01-15,19,19,77,23
2017-01-22,17,21,78,21
2017-01-29,17,19,79,21
2017-02-05,17,20,73,20
2017-02-12,16,19,72,21
2017-02-19,16,19,73,21
2017-02-26,16,20,74,19
2017-03-05,15,20,73,21
2017-03-12,16,20,71,22
2017-03-19,16,19,72,20
2017-03-26,19,21,75,20
2017-04-02,22,21,76,19
2017-04-09,19,19,70,16
2017-04-16,20,20,74,17
2017-04-23,29,20,76,20
2017-04-30,34,19,78,19
2017-05-07,40,19,74,21
2017-05-14,45,18,75,19
2017-05-21,45,18,73,17
2017-05-28,47,18,76,18
2017-06-04,32,18,77,16
2017-06-11,31,19,80,17
2017-06-18,31,18,77,18
2017-06-25,20,19,82,18
2017-07-02,20,18,78,17
2017-07-09,20,19,78,17
2017-07-16,21,21,80,16
2017-07-23,21,22,80,14
2017-07-30,20,19,86,15
2017-08-06,20,19,78,15
2017-08-13,22,19,79,16
2017-08-20,22,20,82,16
2017-08-27,22,19,81,15
2017-09-03,27,19,79,17
2017-09-10,28,17,74,18
2017-09-17,28,19,76,19
2017-09-24,26,18,73,19
2017-10-01,32,19,76,16
2017-10-08,42,21,74,19
2017-10-15,36,20,71,19
2017-10-22,40,19,74,18
2017-10-29,40,20,77,15
2017-11-05,31,22,74,19
2017-11-12,33,21,78,19
2017-11-19,39,19,73,18
2017-11-26,33,22,75,19
2017-12-03,34,22,72,18
2017-12-10,33,19,74,17
2017-12-17,22,19,80,15
2017-12-24,22,20,85,11
2017-12-31,23,22,82,14
2018-01-07,25,21,79,20
2018-01-14,22,20,77,21
2018-01-21,23,21,75,22
2018-01-28,22,21,79,18
2018-02-04,19,21,74,19
2018-02-11,19,20,71,18
2018-02-18,19,20,75,20
2018-02-25,19,18,75,18
2018-03-04,20,20,75,19
2018-03-11,24,22,73,19
2018-03-18,23,20,73,18
2018-03-25,24,19,78,14
2018-04-01,30,20,75,15
2018-04-08,41,19,71,19
2018-04-15,35,19,71,20
2018-04-22,24,19,73,19
2018-04-29,24,19,74,17
2018-05-06,24,18,73,17
2018-05-13,20,19,76,18
2018-05-20,20,19,76,17
2018-05-27,21,18,77,17
2018-06-03,20,19,79,19
2018-06-10,23,21,77,19
