location_lat,location_lng,business_name,full_address,business_kind,signs
31.2577824722222,34.7679643611111,054-4962836,שאול המלך 80/8 ב,בית ספר פרטי/מכון לימוד,"[{""contents"": ""כיתוב ברוסית"", ""photo_url"": ""https://br7ckan.blob.core.windows.net/br7blob/signs/201923534.jpg""}]"
31.2242269722222,34.8010439722222,55 אוכל ובירה,קטינקא 2/1 B,מחסן אחסנה רגילה,"[{""contents"": ""55 אוכל ובירה"", ""photo_url"": ""https://br7ckan.blob.core.windows.net/br7blob/signs/201918415.jpg""}, {""contents"": ""55 אוכל ובירה"", ""photo_url"": ""https://br7ckan.blob.core.windows.net/br7blob/signs/201918446.jpg""}, {""contents"": ""55 אוכל ובירה"", ""photo_url"": ""https://br7ckan.blob.core.windows.net/br7blob/signs/201918537.jpg""}, {""contents"": ""55 אוכל ובירה"", ""photo_url"": ""https://br7ckan.blob.core.windows.net/br7blob/signs/201919056.jpg""}]"
31.2389639166667,34.7744277222222,7 מחשבים,יוהנה ז'בוטי 11/7,,"[{""contents"": ""7 מחשבים"", ""photo_url"": ""https://br7ckan.blob.core.windows.net/br7blob/signs/201927488.jpg""}, {""contents"": ""מעבדת תיקונים"", ""photo_url"": ""https://br7ckan.blob.core.windows.net/br7blob/signs/201927491.jpg""}, {""contents"": ""7 מחשבים וסלולר"", ""photo_url"": ""https://br7ckan.blob.core.windows.net/br7blob/signs/201927487.jpg""}, {""contents"": ""7 מחשבים וסלולר"", ""photo_url"": ""https://br7ckan.blob.core.windows.net/br7blob/signs/201927490.jpg""}, {""contents"": ""פרסומים שונים"", ""photo_url"": ""https://br7ckan.blob.core.windows.net/br7blob/signs/201927485.jpg""}, {""contents"": ""פרסום אלקטרוני"", ""photo_url"": ""https://br7ckan.blob.core.windows.net/br7blob/signs/201927486.jpg""}]"
31.2595166111111,34.7801691944444,א א אד שן,מבצע יואב 21/3,מרפאות פרטיות,"[{""contents"": ""א א אד שן"", ""photo_url"": ""https://br7ckan.blob.core.windows.net/br7blob/signs/201924024.jpg""}]"
31.2262732777778,34.8125654722222,א א אחים אליהו,שורק 40,חנות ששטח המכירה,"[{""contents"": ""א א אחים אליהו"", ""photo_url"": ""https://br7ckan.blob.core.windows.net/br7blob/signs/201917854.jpg""}]"
31.2277063333333,34.8082194722222,א א כדורי שירות מורש,הנחושת 8 מגרש 34,מוסך,"[{""contents"": ""מרכז שירות א.א כדורי"", ""photo_url"": ""https://br7ckan.blob.core.windows.net/br7blob/signs/201915133.jpg""}]"
31.2256486111111,34.8128130277778,א א לרנר מוצרי מזון,הפלדה 15/1,מחסן אחסנה בקירור,"[{""contents"": ""א א לרנר מוצרי מזון"", ""photo_url"": ""https://br7ckan.blob.core.windows.net/br7blob/signs/201916248.jpg""}, {""contents"": ""א א לרנר מוצרי מזון"", ""photo_url"": ""https://br7ckan.blob.core.windows.net/br7blob/signs/201916268.jpg""}]"
31.2283234166667,34.8089648611111,א א ניר,המוסכים 7,נגריה/מנסרה,"[{""contents"": ""א.א. ניר"", ""photo_url"": ""https://br7ckan.blob.core.windows.net/br7blob/signs/201915158.jpg""}, {""contents"": ""א.א. ניר"", ""photo_url"": ""https://br7ckan.blob.core.windows.net/br7blob/signs/201915159.jpg""}, {""contents"": ""א.א. ניר"", ""photo_url"": ""https://br7ckan.blob.core.windows.net/br7blob/signs/201915160.jpg""}, {""contents"": ""א.א. ניר"", ""photo_url"": ""https://br7ckan.blob.core.windows.net/br7blob/signs/201915161.jpg""}, {""contents"": ""א.א. ניר"", ""photo_url"": ""https://br7ckan.blob.core.windows.net/br7blob/signs/201915185.jpg""}]"
31.226405,34.8164507,א א פרסומאים,אגס 14,ייצור ומכירה אלומיניום/מתכות,"[{""contents"": ""א.א פרסומאים"", ""photo_url"": ""https://br7ckan.blob.core.windows.net/br7blob/signs/201917872.jpg""}, {""contents"": ""א.א פרסומאים"", ""photo_url"": ""https://br7ckan.blob.core.windows.net/br7blob/signs/201917919.jpg""}, {""contents"": ""א.א פרסומאים"", ""photo_url"": ""https://br7ckan.blob.core.windows.net/br7blob/signs/201917921.jpg""}, {""contents"": ""א.א פרסומאים"", ""photo_url"": ""https://br7ckan.blob.core.windows.net/br7blob/signs/201917927.jpg""}, {""contents"": ""א.א פרסומאים"", ""photo_url"": ""https://br7ckan.blob.core.windows.net/br7blob/signs/201917928.jpg""}, {""contents"": ""א.א פרסומאים"", ""photo_url"": ""https://br7ckan.blob.core.windows.net/br7blob/signs/201917904.jpg""}, {""contents"": ""א.א פרסומאים"", ""photo_url"": ""https://br7ckan.blob.core.windows.net/br7blob/signs/201917912.jpg""}]"
31.2368196944444,34.79671825,א א שיש חזן,המלאכה 12,שיש מכירה הכנה עיבוד,"[{""contents"": ""א א שיש חזן"", ""photo_url"": ""https://br7ckan.blob.core.windows.net/br7blob/signs/201909001.jpg""}, {""contents"": ""א א שיש חזן"", ""photo_url"": ""https://br7ckan.blob.core.windows.net/br7blob/signs/201909003.jpg""}, {""contents"": ""א א שיש חזן"", ""photo_url"": ""https://br7ckan.blob.core.windows.net/br7blob/signs/201909000.jpg""}]"
31.2208460277778,34.8093056111111,א אור,הבדיל 47,,"[{""contents"": ""א אור"", ""photo_url"": ""https://br7ckan.blob.core.windows.net/br7blob/signs/201915698.jpg""}, {""contents"": ""א אור"", ""photo_url"": ""https://br7ckan.blob.core.windows.net/br7blob/signs/201915697.jpg""}]"
31.2259250555556,34.8105575833333,א ד מגן,הפועלים 14/3 ק,חנות ששטח המכירה,"[{""contents"": ""א ד מגן"", ""photo_url"": ""https://br7ckan.blob.core.windows.net/br7blob/signs/201916516.jpg""}, {""contents"": ""שטל בלק אנד דקר"", ""photo_url"": ""https://br7ckan.blob.core.windows.net/br7blob/signs/201916515.jpg""}]"
31.2416584722222,34.8025113611111,א ד תריסים,הנגרים 12,מסגריה,"[{""contents"": ""א ד תריסים"", ""photo_url"": ""https://br7ckan.blob.core.windows.net/br7blob/signs/201909856.jpg""}]"
